age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,segment,job_change,relocation,competitor_pricing_gap,upi_frequency_drop,app_login_decay,credit_card_count,avg_monthly_balance,loan_interest_rate
22,blue-collar,single,unknown,no,7542.33,no,no,telephone,19,apr,1914,5,-1,0,unknown,no,Jan Dhan,0,1,0.16,0.41,0.06,0,4748.06,0.0
37,blue-collar,divorced,secondary,no,5786.85,no,no,cellular,23,nov,1004,2,-1,0,unknown,no,Jan Dhan,0,0,-1.88,0.85,0.17,0,4644.44,0.0
26,technician,married,secondary,no,327296.19,yes,yes,cellular,24,sep,2674,5,276,3,success,no,Salaried,0,0,-1.03,0.04,0.41,0,87213.93,0.0
42,entrepreneur,married,secondary,no,1769180.81,yes,yes,cellular,9,jun,1155,10,-1,0,unknown,no,MSME,0,0,-1.28,0.3,0.43,2,387714.33,11.42
37,technician,divorced,tertiary,no,243285.62,yes,no,cellular,17,jun,1752,9,170,5,success,no,Salaried,0,0,-1.64,0.12,0.01,3,53094.84,0.0
20,student,single,secondary,no,1038.55,no,no,cellular,12,mar,1248,1,-1,0,unknown,no,Student,0,1,-0.34,0.66,0.65,0,914.75,0.0
25,student,married,unknown,no,602.68,no,yes,cellular,3,jul,2024,2,-1,0,unknown,no,Student,0,0,0.85,0.4,0.59,0,926.51,0.0
53,services,married,tertiary,no,6063.18,no,no,unknown,14,may,2339,10,-1,0,unknown,no,Jan Dhan,1,0,-1.37,0.66,0.07,0,3953.7,0.0
29,blue-collar,married,tertiary,no,1565.33,no,no,unknown,15,feb,2825,4,-1,0,unknown,yes,Jan Dhan,0,0,-0.06,0.63,0.21,0,2042.59,0.0
29,entrepreneur,married,tertiary,no,166294.18,yes,yes,cellular,16,aug,339,10,21,5,failure,no,MSME,0,0,-1.31,0.36,0.56,3,317769.82,12.95
62,entrepreneur,divorced,unknown,no,1904033.24,yes,yes,telephone,16,feb,1935,6,210,2,unknown,no,MSME,0,0,0.08,0.41,0.19,3,309311.14,12.58
60,entrepreneur,divorced,unknown,no,121559.4,yes,yes,cellular,7,sep,1491,10,256,0,unknown,no,MSME,0,0,0.78,0.34,0.59,1,191532.72,9.94
29,admin.,single,unknown,no,486841.94,yes,no,unknown,21,mar,2051,5,261,3,success,no,Salaried,1,0,-0.35,0.01,0.16,1,75331.54,0.0
57,entrepreneur,single,tertiary,no,1505270.46,yes,yes,unknown,27,oct,2385,8,77,4,success,yes,MSME,0,0,-0.37,0.35,0.5,2,438812.12,9.66
30,unemployed,divorced,unknown,no,5717.98,no,no,cellular,22,nov,633,8,-1,0,unknown,yes,Jan Dhan,0,0,0.61,0.42,0.23,0,1167.81,0.0
55,management,married,unknown,no,17520.32,yes,yes,telephone,28,jun,2772,9,195,5,success,yes,Salaried,0,0,-1.79,0.06,0.33,1,49848.18,0.0
39,entrepreneur,single,primary,no,1506194.42,no,yes,cellular,2,may,1478,6,-1,0,unknown,no,MSME,0,0,0.05,0.16,0.45,4,490251.98,12.56
57,services,married,unknown,no,6197.1,no,no,cellular,1,aug,1188,9,-1,0,unknown,yes,Jan Dhan,0,0,-0.24,0.47,0.27,0,1204.15,0.0
38,management,married,tertiary,no,424198.92,no,no,cellular,27,nov,1631,5,-1,0,unknown,yes,Salaried,1,0,0.5,0.04,0.43,1,99946.75,0.0
36,technician,single,primary,no,402946.66,yes,yes,unknown,21,jan,1275,8,18,5,other,no,Salaried,0,0,0.24,0.27,0.31,1,69112.52,0.0
23,student,married,tertiary,no,2701.18,no,no,unknown,15,feb,586,4,204,0,unknown,no,Student,0,0,-0.39,0.69,0.45,1,1745.71,0.0
38,technician,divorced,secondary,no,196702.49,yes,no,telephone,21,aug,2881,5,-1,0,unknown,no,Salaried,0,0,-1.09,0.01,0.12,2,24209.42,0.0
20,student,divorced,secondary,no,2004.36,no,no,unknown,21,feb,2014,10,209,0,unknown,no,Student,0,0,-0.67,0.52,0.72,0,1924.07,0.0
61,housemaid,single,unknown,no,5444.66,no,no,cellular,7,nov,2629,10,-1,0,unknown,no,Jan Dhan,0,0,-1.62,0.6,0.11,0,4889.21,0.0
21,student,married,secondary,no,2973.28,no,no,unknown,18,may,724,2,-1,0,unknown,no,Student,0,0,-1.29,0.67,0.76,0,849.5,0.0
21,unemployed,divorced,primary,no,7417.18,no,no,cellular,8,oct,187,9,155,5,unknown,yes,Jan Dhan,0,0,-0.8,0.64,0.22,0,2630.43,0.0
50,admin.,married,unknown,no,450640.71,yes,no,unknown,17,may,1868,9,-1,0,unknown,yes,Salaried,0,0,-0.04,0.11,0.03,2,66705.28,0.0
35,management,married,tertiary,no,231261.91,yes,no,cellular,5,nov,1952,2,-1,0,unknown,yes,Salaried,0,0,0.22,0.16,0.41,1,50174.15,0.0
59,technician,single,tertiary,no,285224.86,yes,yes,telephone,12,feb,2377,9,-1,0,unknown,yes,Salaried,0,0,-1.68,0.38,0.44,0,49918.73,0.0
35,unemployed,divorced,primary,no,8072.21,no,no,telephone,22,dec,1105,1,93,5,failure,no,Jan Dhan,1,0,-1.46,0.81,0.29,0,4225.78,0.0
26,admin.,married,tertiary,no,373074.84,yes,no,unknown,19,oct,357,1,-1,0,unknown,no,Salaried,0,0,-1.76,0.15,0.27,0,22799.4,0.0
60,management,married,tertiary,no,212950.03,no,yes,cellular,13,oct,234,1,105,1,other,no,Salaried,0,0,-1.64,0.17,0.06,1,79170.17,0.0
30,management,single,unknown,no,270965.35,no,yes,cellular,30,feb,1292,10,220,5,success,no,Salaried,0,0,0.9,0.32,0.42,1,57522.3,0.0
54,entrepreneur,married,tertiary,no,1672450.53,yes,yes,cellular,25,mar,322,9,-1,0,unknown,yes,MSME,1,0,0.18,0.45,0.22,3,89658.45,13.07
40,entrepreneur,married,unknown,no,250468.83,no,yes,unknown,25,oct,1848,10,166,1,success,no,MSME,0,0,-1.09,0.49,0.48,3,138772.31,11.61
19,student,single,unknown,no,1621.0,no,yes,cellular,18,dec,178,8,-1,0,unknown,no,Student,0,0,-1.55,0.25,0.8,0,585.34,0.0
23,student,divorced,secondary,no,4913.69,no,yes,cellular,30,may,1596,7,-1,0,unknown,no,Student,0,0,-1.8,0.62,0.32,0,1469.19,0.0
40,management,divorced,unknown,no,364629.49,no,yes,cellular,23,feb,1278,9,193,1,unknown,yes,Salaried,0,0,-0.91,0.06,0.29,1,43335.77,0.0
31,housemaid,single,primary,no,9476.68,no,no,telephone,29,oct,546,10,-1,0,unknown,yes,Jan Dhan,0,0,0.31,0.47,0.07,0,2431.35,0.0
46,blue-collar,divorced,unknown,no,4108.59,no,no,cellular,8,may,1931,4,189,3,failure,no,Jan Dhan,0,0,-0.74,0.62,0.07,0,3381.81,0.0
56,unemployed,divorced,primary,no,8730.02,yes,no,cellular,25,mar,1127,8,-1,0,unknown,yes,Jan Dhan,0,0,0.73,0.59,0.14,0,260.9,0.0
26,entrepreneur,divorced,tertiary,no,859048.97,no,yes,unknown,5,jan,1185,8,72,3,unknown,no,MSME,1,0,-1.35,0.32,0.6,4,275903.2,9.41
63,entrepreneur,single,primary,no,1079154.44,yes,yes,unknown,16,oct,2205,1,-1,0,unknown,no,MSME,0,0,-2.0,0.24,0.16,1,399277.68,9.43
33,technician,married,unknown,no,337425.3,yes,no,cellular,13,jun,1048,1,-1,0,unknown,yes,Salaried,0,0,-0.12,0.2,0.26,2,20752.74,0.0
43,admin.,divorced,secondary,no,31724.49,yes,yes,unknown,3,dec,1884,1,-1,0,unknown,yes,Salaried,0,0,-1.87,0.31,0.09,2,84148.25,0.0
56,management,married,unknown,no,134123.74,yes,no,unknown,24,aug,1593,6,96,5,success,no,Salaried,0,0,-1.2,0.02,0.43,1,39319.43,0.0
49,technician,divorced,unknown,no,497598.1,yes,no,cellular,15,jun,1841,1,181,2,unknown,yes,Salaried,0,0,-0.91,0.03,0.16,1,61365.32,0.0
23,admin.,divorced,primary,no,425847.96,no,no,telephone,22,aug,1529,6,-1,0,unknown,yes,Salaried,0,0,-0.81,0.31,0.03,3,17957.91,0.0
25,blue-collar,married,unknown,no,7356.75,no,no,cellular,20,may,2852,8,-1,0,unknown,yes,Jan Dhan,0,0,-1.48,0.68,0.12,0,2495.22,0.0
55,retired,divorced,secondary,no,18676414.15,no,yes,unknown,17,apr,507,4,-1,0,unknown,yes,HNI,0,0,-0.34,0.06,0.06,3,5949974.33,0.0
60,entrepreneur,divorced,primary,no,303053.9,yes,yes,cellular,11,nov,313,8,239,1,other,yes,MSME,0,0,-0.49,0.39,0.46,1,79586.65,10.39
58,entrepreneur,single,tertiary,no,348380.16,yes,yes,cellular,31,sep,1134,3,-1,0,unknown,no,MSME,0,0,0.82,0.67,0.21,2,122885.13,13.61
60,management,divorced,secondary,no,422839.7,yes,no,unknown,14,oct,2627,1,255,5,failure,no,Salaried,0,0,0.05,0.02,0.01,0,85145.08,0.0
18,student,married,tertiary,no,874.59,no,yes,unknown,5,jun,2119,9,55,1,success,no,Student,0,0,-1.58,0.29,0.5,0,1196.66,0.0
64,entrepreneur,married,unknown,no,865362.75,no,yes,unknown,16,jan,378,7,259,1,other,yes,MSME,0,0,-1.16,0.21,0.46,2,416065.03,13.6
55,entrepreneur,married,primary,no,607209.34,yes,yes,cellular,7,jun,2276,5,38,4,success,no,MSME,0,0,0.97,0.54,0.54,1,431227.56,10.59
19,student,divorced,unknown,no,2030.13,no,no,cellular,2,jan,571,6,243,1,other,yes,Student,0,0,-1.51,0.65,0.86,0,1008.63,0.0
41,technician,married,tertiary,no,174822.99,no,yes,unknown,24,dec,2587,1,243,5,other,yes,Salaried,0,0,-1.49,0.33,0.15,3,75242.88,0.0
46,admin.,single,unknown,no,412614.03,no,no,telephone,14,sep,2514,8,-1,0,unknown,yes,Salaried,0,0,0.99,0.04,0.47,1,17683.49,0.0
29,services,divorced,tertiary,no,9121.24,no,no,telephone,7,apr,1152,9,-1,0,unknown,no,Jan Dhan,1,1,0.31,0.79,0.11,0,1711.64,0.0
53,management,married,secondary,no,245103.68,yes,no,cellular,10,dec,333,6,227,5,success,yes,Salaried,0,0,-1.19,0.22,0.29,2,39462.1,0.0
24,unemployed,married,tertiary,no,2424.58,no,no,unknown,4,nov,573,1,-1,0,unknown,no,Jan Dhan,0,0,0.64,0.72,0.16,0,3349.17,0.0
36,housemaid,divorced,primary,no,2854.15,no,no,unknown,6,jul,730,1,204,1,failure,no,Jan Dhan,0,0,-0.3,0.73,0.23,0,295.81,0.0
53,self-employed,single,tertiary,no,49476774.56,yes,no,cellular,15,nov,1063,3,8,2,other,yes,HNI,0,0,0.69,0.03,0.18,10,5718866.81,0.0
27,management,married,tertiary,no,337935.37,no,no,unknown,10,oct,2970,10,6,5,failure,no,Salaried,0,0,-1.65,0.37,0.24,1,98443.24,0.0
54,technician,married,secondary,no,387222.11,no,yes,cellular,20,jun,1713,9,-1,0,unknown,yes,Salaried,0,0,-0.21,0.15,0.47,0,69290.46,0.0
55,technician,married,unknown,no,187274.59,yes,no,cellular,7,dec,2398,8,47,0,unknown,no,Salaried,0,0,-0.63,0.2,0.27,0,20249.43,0.0
41,technician,single,primary,no,20667.52,no,no,unknown,3,aug,139,5,-1,0,unknown,yes,Salaried,0,0,0.93,0.23,0.37,2,84398.52,0.0
46,management,married,primary,no,436113.94,yes,yes,cellular,18,jul,2176,3,-1,0,unknown,yes,Salaried,0,1,-0.61,0.26,0.34,3,46929.87,0.0
46,admin.,divorced,unknown,no,131280.9,yes,no,telephone,30,jan,995,4,-1,0,unknown,yes,Salaried,0,0,0.02,0.35,0.09,2,28185.32,0.0
20,services,married,secondary,no,4389.63,no,no,unknown,24,oct,1316,10,-1,0,unknown,no,Jan Dhan,0,0,-0.02,0.79,0.23,0,2698.8,0.0
21,unemployed,divorced,unknown,no,6259.93,yes,no,unknown,11,dec,1715,7,77,3,other,no,Jan Dhan,0,0,0.55,0.89,0.15,0,2136.0,0.0
51,admin.,married,tertiary,no,285569.12,no,yes,cellular,24,apr,221,5,-1,0,unknown,yes,Salaried,0,0,0.29,0.1,0.07,3,62369.37,0.0
52,admin.,divorced,unknown,no,436042.19,no,yes,unknown,23,oct,2892,4,-1,0,unknown,yes,Salaried,0,0,-0.86,0.08,0.45,2,40770.98,0.0
34,housemaid,married,secondary,no,5128.17,no,no,cellular,14,jan,2314,4,-1,0,unknown,no,Jan Dhan,0,0,-0.26,0.89,0.03,0,2486.39,0.0
39,unemployed,married,unknown,no,3798.4,no,no,unknown,21,dec,2019,8,87,1,other,yes,Jan Dhan,0,0,0.75,0.73,0.15,0,4166.81,0.0
25,technician,single,primary,no,26573.64,yes,yes,unknown,1,apr,2081,8,-1,0,unknown,yes,Salaried,0,0,-0.15,0.31,0.33,0,95340.99,0.0
22,technician,divorced,unknown,no,280305.34,no,no,unknown,30,mar,448,2,-1,0,unknown,no,Salaried,0,0,-1.24,0.21,0.36,0,16421.72,0.0
27,management,divorced,primary,no,480055.92,yes,yes,cellular,13,jul,2273,8,-1,0,unknown,yes,Salaried,0,0,0.54,0.09,0.5,3,63025.19,0.0
24,blue-collar,single,tertiary,no,2297.66,no,no,unknown,19,nov,144,3,-1,0,unknown,yes,Jan Dhan,1,0,0.26,0.68,0.21,0,4506.36,0.0
22,housemaid,married,unknown,no,1624.5,no,no,unknown,5,dec,2976,2,257,0,unknown,no,Jan Dhan,0,0,-1.77,0.59,0.25,0,1202.36,0.0
60,management,married,unknown,no,484771.06,yes,no,cellular,19,nov,1566,2,-1,0,unknown,yes,Salaried,0,0,-1.54,0.4,0.14,2,17518.18,0.0
46,management,single,unknown,no,186743.11,no,no,cellular,18,sep,1681,2,-1,0,unknown,yes,Salaried,0,0,-0.21,0.14,0.15,0,15441.59,0.0
36,services,divorced,secondary,no,3878.0,yes,no,telephone,6,mar,1111,5,138,1,unknown,yes,Jan Dhan,0,0,-1.1,0.85,0.27,0,423.5,0.0
33,services,married,unknown,no,5938.06,yes,no,unknown,11,aug,1381,7,70,2,other,no,Jan Dhan,0,0,-0.81,0.55,0.03,0,977.74,0.0
53,technician,divorced,secondary,no,393167.44,no,no,telephone,18,jan,2988,8,108,2,unknown,yes,Salaried,0,0,-0.77,0.16,0.41,2,46964.7,0.0
37,management,divorced,unknown,no,332744.85,yes,no,cellular,26,jun,2883,9,-1,0,unknown,yes,Salaried,0,0,-0.93,0.4,0.04,3,82071.52,0.0
24,student,divorced,secondary,no,4837.37,no,no,cellular,13,aug,2793,10,-1,0,unknown,no,Student,0,0,-1.69,0.26,0.36,0,1694.35,0.0
42,retired,divorced,unknown,no,8800408.49,no,no,cellular,10,jan,2921,2,12,5,unknown,yes,HNI,0,0,0.95,0.1,0.16,6,4087600.13,0.0
28,housemaid,divorced,unknown,no,5598.49,no,no,cellular,24,oct,818,8,220,0,unknown,yes,Jan Dhan,0,0,0.26,0.6,0.07,0,4792.31,0.0
19,student,married,tertiary,no,4017.56,no,no,cellular,20,jul,2414,2,179,3,other,yes,Student,0,0,-1.11,0.27,0.42,0,1048.69,0.0
20,student,divorced,secondary,no,1634.61,no,no,cellular,14,mar,2003,9,-1,0,unknown,no,Student,0,0,-1.06,0.28,0.52,0,675.42,0.0
23,student,married,unknown,no,4764.03,no,no,cellular,27,aug,2011,3,-1,0,unknown,no,Student,0,0,-1.9,0.54,0.53,0,792.69,0.0
47,services,married,primary,no,5497.26,no,no,unknown,15,sep,905,7,-1,0,unknown,no,Jan Dhan,0,1,-0.65,0.79,0.03,0,566.05,0.0
53,entrepreneur,divorced,unknown,no,1737316.42,yes,yes,cellular,5,apr,857,1,292,4,failure,no,MSME,0,0,0.94,0.45,0.51,1,399034.24,9.42
54,technician,single,secondary,no,409438.64,yes,yes,cellular,23,jun,1023,7,-1,0,unknown,yes,Salaried,0,0,-0.76,0.37,0.39,1,96835.62,0.0
27,management,divorced,primary,no,262650.6,yes,no,unknown,15,nov,2730,6,33,1,success,no,Salaried,0,0,-1.03,0.18,0.44,2,74049.81,0.0
30,technician,single,primary,no,427687.06,yes,yes,unknown,6,aug,1879,1,-1,0,unknown,no,Salaried,1,0,0.65,0.02,0.38,2,91003.15,0.0
42,entrepreneur,divorced,secondary,no,232012.97,yes,yes,cellular,3,dec,399,1,110,0,unknown,no,MSME,0,0,0.04,0.2,0.55,3,162675.18,10.23
29,management,married,secondary,no,350075.19,no,no,cellular,27,mar,2637,3,-1,0,unknown,no,Salaried,0,0,-0.95,0.29,0.19,3,21020.41,0.0
48,technician,married,tertiary,no,346417.42,yes,no,unknown,8,may,2650,2,128,5,unknown,yes,Salaried,0,0,-1.1,0.3,0.05,1,22368.48,0.0
47,management,single,tertiary,no,326623.19,yes,no,unknown,5,jul,2338,7,-1,0,unknown,no,Salaried,0,1,0.31,0.2,0.06,1,57065.46,0.0
22,student,married,unknown,no,1157.14,no,no,unknown,3,nov,2207,9,79,0,unknown,yes,Student,0,0,-1.39,0.37,0.54,1,1923.02,0.0
47,technician,married,primary,no,320804.18,no,no,cellular,20,jan,1276,3,-1,0,unknown,yes,Salaried,0,0,-1.51,0.38,0.22,0,41364.41,0.0
38,admin.,divorced,primary,no,192216.02,no,no,cellular,19,nov,325,8,234,0,unknown,no,Salaried,0,0,-0.9,0.36,0.06,2,77299.55,0.0
19,student,married,secondary,no,1219.18,no,no,cellular,31,jan,2274,7,115,1,success,no,Student,1,0,0.48,0.35,0.82,0,566.06,0.0
18,student,married,tertiary,no,978.79,no,no,cellular,18,aug,42,6,103,4,failure,yes,Student,0,0,-0.9,0.24,0.87,0,1972.12,0.0
47,retired,divorced,primary,no,45221278.27,yes,no,unknown,1,nov,1551,5,-1,0,unknown,yes,HNI,0,0,-0.52,0.0,0.19,5,2355097.39,0.0
52,management,single,primary,no,4107212.75,no,yes,cellular,21,jul,316,10,-1,0,unknown,no,HNI,0,1,-1.29,0.14,0.1,5,9075587.25,0.0
43,housemaid,divorced,primary,no,3180.58,no,no,cellular,6,aug,1918,6,-1,0,unknown,no,Jan Dhan,0,1,-1.38,0.5,0.02,0,1359.78,0.0
25,blue-collar,married,secondary,no,1576.15,no,no,cellular,8,jun,1633,9,26,2,other,yes,Jan Dhan,0,0,-0.64,0.75,0.25,0,3430.27,0.0
47,blue-collar,single,secondary,no,8038.97,yes,no,unknown,12,nov,2591,2,299,0,unknown,no,Jan Dhan,0,0,0.71,0.82,0.0,0,698.97,0.0
23,student,married,primary,no,700.39,no,no,cellular,14,mar,1459,4,96,2,success,no,Student,0,0,-0.14,0.46,0.85,1,575.96,0.0
44,services,divorced,secondary,no,609.79,no,no,telephone,26,sep,89,7,184,4,success,no,Jan Dhan,0,0,-1.04,0.5,0.04,0,1398.88,0.0
21,student,divorced,secondary,no,243.59,no,no,unknown,4,apr,2700,4,-1,0,unknown,yes,Student,0,0,-0.27,0.48,0.79,0,921.4,0.0
29,unemployed,divorced,tertiary,no,2365.51,no,no,unknown,19,mar,2316,4,253,1,success,no,Jan Dhan,0,0,-0.2,0.58,0.22,0,1590.02,0.0
43,technician,single,secondary,no,108717.55,yes,no,unknown,28,sep,1504,2,192,4,unknown,yes,Salaried,0,0,0.93,0.32,0.09,1,43964.52,0.0
53,technician,single,secondary,no,165468.86,no,yes,unknown,31,dec,2356,7,-1,0,unknown,yes,Salaried,0,0,0.43,0.07,0.29,2,33975.16,0.0
28,management,divorced,tertiary,no,78915.25,yes,no,cellular,9,apr,1032,2,180,0,unknown,yes,Salaried,0,0,-0.69,0.07,0.49,0,35229.65,0.0
44,services,divorced,secondary,no,8817.71,no,no,cellular,3,jan,1217,1,164,0,unknown,yes,Jan Dhan,0,0,-0.87,0.81,0.11,0,1756.16,0.0
27,management,single,primary,no,301074.97,yes,no,cellular,7,jul,2865,9,277,5,failure,yes,Salaried,0,0,-0.82,0.26,0.22,3,74882.89,0.0
25,management,single,tertiary,no,11869.63,no,no,unknown,16,feb,1273,7,242,5,failure,yes,Salaried,0,0,-1.45,0.24,0.33,0,40036.7,0.0
46,blue-collar,divorced,primary,no,2632.96,no,no,cellular,12,sep,1705,10,-1,0,unknown,yes,Jan Dhan,0,0,-0.74,0.53,0.07,0,2325.29,0.0
55,entrepreneur,divorced,secondary,no,1166792.87,yes,yes,cellular,25,aug,718,3,-1,0,unknown,no,MSME,0,0,0.96,0.53,0.55,2,264318.03,8.47
75,management,divorced,tertiary,no,42037189.7,no,no,unknown,17,aug,60,10,268,0,unknown,yes,HNI,0,0,-0.24,0.16,0.15,6,3877745.4,0.0
31,entrepreneur,divorced,unknown,no,1147233.33,no,yes,cellular,9,jul,599,10,-1,0,unknown,no,MSME,0,0,0.07,0.63,0.54,1,403585.53,13.2
39,management,single,secondary,no,19914.12,yes,yes,cellular,24,aug,1324,5,-1,0,unknown,yes,Salaried,0,0,0.47,0.34,0.42,2,41430.69,0.0
45,admin.,divorced,primary,no,262482.15,yes,no,cellular,29,apr,246,4,17,0,unknown,yes,Salaried,1,0,-1.18,0.16,0.35,1,20577.44,0.0
29,technician,married,secondary,no,24975.96,yes,no,unknown,9,dec,2831,2,-1,0,unknown,yes,Salaried,0,0,-0.28,0.38,0.22,2,56546.87,0.0
39,entrepreneur,single,secondary,no,1371505.73,yes,yes,telephone,1,apr,1043,10,157,3,success,no,MSME,0,0,-1.35,0.68,0.53,3,343214.3,11.08
47,technician,married,tertiary,no,60132.93,yes,no,telephone,28,may,1079,5,-1,0,unknown,yes,Salaried,0,0,-1.83,0.11,0.3,2,62723.85,0.0
50,entrepreneur,single,secondary,no,1338034.13,yes,yes,cellular,23,apr,2821,9,244,4,failure,no,MSME,0,0,0.63,0.26,0.6,2,374577.44,11.93
20,student,divorced,primary,no,3730.5,no,yes,cellular,8,dec,1267,7,170,2,failure,no,Student,0,0,-1.84,0.77,0.85,0,1338.55,0.0
26,management,single,secondary,no,445818.77,no,yes,cellular,19,aug,596,6,-1,0,unknown,yes,Salaried,0,0,-1.47,0.12,0.19,0,88737.31,0.0
22,student,single,unknown,no,1125.97,no,no,telephone,13,jul,1965,7,-1,0,unknown,yes,Student,0,0,0.85,0.67,0.4,0,1364.42,0.0
55,admin.,married,tertiary,no,18778.9,no,no,cellular,27,jan,1231,5,234,3,other,no,Salaried,0,0,-0.92,0.28,0.12,0,68268.39,0.0
50,entrepreneur,divorced,primary,no,87293.23,no,yes,cellular,21,may,2200,10,-1,0,unknown,no,MSME,0,0,-1.94,0.45,0.47,2,377225.97,8.79
46,admin.,single,tertiary,no,278168.37,no,no,telephone,23,mar,1725,2,-1,0,unknown,yes,Salaried,0,0,-0.51,0.27,0.1,3,74658.8,0.0
55,admin.,married,secondary,no,185381.7,no,yes,cellular,22,feb,462,10,-1,0,unknown,yes,Salaried,1,0,-1.77,0.2,0.02,3,40104.85,0.0
39,entrepreneur,divorced,tertiary,no,940664.91,yes,yes,cellular,4,feb,197,1,-1,0,unknown,no,MSME,0,0,0.87,0.62,0.51,3,168856.26,8.3
45,management,married,secondary,no,99606.02,yes,no,cellular,23,dec,250,3,54,4,success,no,Salaried,0,0,-1.46,0.33,0.23,3,49021.27,0.0
19,unemployed,divorced,tertiary,no,4830.8,no,no,cellular,28,nov,2159,10,-1,0,unknown,no,Jan Dhan,1,0,-0.99,0.62,0.27,0,2440.61,0.0
28,management,divorced,primary,no,334239.5,no,yes,cellular,30,mar,2080,8,-1,0,unknown,yes,Salaried,0,0,-1.28,0.26,0.33,1,55964.02,0.0
21,student,single,unknown,no,2797.43,no,no,cellular,4,aug,2686,1,53,3,unknown,no,Student,0,0,-1.73,0.47,0.35,0,1725.65,0.0
